sav,bulk density,moisture
4454.9023,1.4,0.2
4454.9023,1.4117647,0.2
4423.53,1.4117647,0.2
4423.53,1.4235294,0.2
4423.53,1.4235294,0.2
4423.53,1.4235294,0.2
4392.157,1.4235294,0.2
4392.157,1.4352942,0.2
4392.157,1.4352942,0.2
4392.157,1.4352942,0.2
4392.157,1.4352942,0.2
4360.7847,1.4352942,0.2
4360.7847,1.4352942,0.2
4360.7847,1.4470588,0.2
4360.7847,1.4470588,0.2
2949.0198,0.8627451,1.0
4360.7847,1.4470588,0.2
4329.412,1.4470588,0.2
2949.0198,1.1764706,1.0
4329.412,1.4470588,0.2
4329.412,1.4470588,0.2
4109.804,1.3764706,0.2
3576.4707,1.0901961,1.0
4141.177,1.3764706,0.2
3419.608,0.63529414,1.0
4172.5493,1.3764706,0.2
4203.922,1.3647059,0.2
4235.2944,1.3647059,0.2
3576.4707,0.59607846,1.0
4266.667,1.3647059,0.2
4298.0396,1.3529412,0.2
4329.412,1.3529412,0.2
4360.7847,1.3529412,0.2
3419.608,0.99607843,1.0
4360.7847,1.3411765,0.2
4392.157,1.3411765,0.2
4423.53,1.3411765,0.2
3419.608,0.63529414,1.0
4454.9023,1.3411765,0.2
4486.275,1.3294117,0.2
4517.6475,1.3294117,0.2
4549.02,1.3294117,0.2
4580.3926,1.3176471,0.2
4611.765,1.3176471,0.2
4643.1377,1.3176471,0.2
4674.51,1.3176471,0.2
4454.9023,0.89411765,1.0
4705.8823,1.3058823,0.2
4705.8823,1.3058823,0.2
4737.255,1.3058823,0.2
4768.6274,1.2941177,0.2
3576.4707,0.59607846,1.0
4800.0,1.2941177,0.2
4831.3726,1.2941177,0.2
3576.4707,1.0352942,1.0
4831.3726,1.2823529,0.2
4831.3726,1.2823529,0.2
4831.3726,1.2823529,0.2
4831.3726,1.2823529,0.2
4831.3726,1.2705883,0.2
4831.3726,1.2705883,0.2
6556.863,1.1921569,1.0
6556.863,0.8862745,1.0
4831.3726,1.2705883,0.2
4831.3726,1.2705883,0.2
4831.3726,1.2588235,0.2
4831.3726,1.2588235,0.2
4831.3726,1.2588235,0.2
4800.0,1.2470589,0.2
4800.0,1.2470589,0.2
4800.0,1.2470589,0.2
4800.0,1.2470589,0.2
4800.0,1.2352941,0.2
4800.0,1.2352941,0.2
4800.0,1.2352941,0.2
4800.0,1.2235295,0.2
4800.0,1.2235295,0.2
4800.0,1.2235295,0.2
4800.0,1.2235295,0.2
4800.0,1.2117647,0.2
4800.0,1.2117647,0.2
4800.0,1.2117647,0.2
4800.0,1.2117647,0.2
4800.0,1.2,0.2
4800.0,1.2,0.2
4800.0,1.2,0.2
4800.0,1.2,0.2
4800.0,1.2,0.2
4768.6274,1.2117647,0.2
3576.4707,0.9254902,1.0
3576.4707,1.1921569,1.0
4768.6274,1.2235295,0.2
4737.255,1.2235295,0.2
4737.255,1.2352941,0.2
4705.8823,1.2470589,0.2
4705.8823,1.2470589,0.2
4674.51,1.2588235,0.2
4674.51,1.2705883,0.2
4643.1377,1.2705883,0.2
4643.1377,1.2823529,0.2
4643.1377,1.2823529,0.2
4611.765,1.2941177,0.2
4611.765,1.3058823,0.2
4580.3926,1.3058823,0.2
4580.3926,1.3176471,0.2
4549.02,1.3294117,0.2
4549.02,1.3294117,0.2
4517.6475,1.3411765,0.2
4517.6475,1.3411765,0.2
4517.6475,1.3529412,0.2
4486.275,1.3647059,0.2
4486.275,1.3647059,0.2
4454.9023,1.3764706,0.2
4454.9023,1.3882353,0.2
4423.53,1.3882353,0.2
4423.53,1.4,0.2
4392.157,1.4117647,0.2
4392.157,1.4117647,0.2
4392.157,1.4235294,0.2
4360.7847,1.4235294,0.2
4360.7847,1.4235294,0.2
3576.4707,0.9098039,1.0
4360.7847,1.4235294,0.2
4360.7847,1.4235294,0.2
3419.608,0.89411765,1.0
4360.7847,1.4352942,0.2
4329.412,1.4352942,0.2
4329.412,1.4352942,0.2
4329.412,1.4352942,0.2
4329.412,1.4470588,0.2
4329.412,1.4470588,0.2
4298.0396,1.4470588,0.2
3419.608,0.972549,1.0
4298.0396,1.4470588,0.2
4298.0396,1.4470588,0.2
4298.0396,1.4588236,0.2
3576.4707,1.2,1.0
4141.177,1.3647059,0.2
4172.5493,1.3647059,0.2
4203.922,1.3529412,0.2
4235.2944,1.3529412,0.2
4266.667,1.3529412,0.2
4298.0396,1.3411765,0.2
4329.412,1.3411765,0.2
4360.7847,1.3411765,0.2
4392.157,1.3294117,0.2
4423.53,1.3294117,0.2
4454.9023,1.3176471,0.2
4486.275,1.3176471,0.2
4517.6475,1.3176471,0.2
4549.02,1.3058823,0.2
2949.0198,1.0352942,1.0
4580.3926,1.3058823,0.2
4611.765,1.3058823,0.2
3576.4707,0.59607846,1.0
4643.1377,1.2941177,0.2
4674.51,1.2941177,0.2
4705.8823,1.2823529,0.2
4737.255,1.2823529,0.2
4768.6274,1.2823529,0.2
4800.0,1.2705883,0.2
4862.745,1.2705883,0.2
4894.1177,1.2705883,0.2
4925.49,1.2588235,0.2
4925.49,1.2588235,0.2
4925.49,1.2588235,0.2
4925.49,1.2470589,0.2
4925.49,1.2470589,0.2
4925.49,1.2470589,0.2
3576.4707,0.59607846,1.0
4925.49,1.2352941,0.2
4925.49,1.2352941,0.2
6556.863,0.8235294,1.0
4925.49,1.2352941,0.2
6556.863,0.83137256,1.0
4925.49,1.2235295,0.2
4925.49,1.2235295,0.2
4925.49,1.2235295,0.2
3576.4707,0.91764706,1.0
4925.49,1.2235295,0.2
4894.1177,1.2117647,0.2
3576.4707,0.59607846,1.0
4894.1177,1.2117647,0.2
4894.1177,1.2117647,0.2
4894.1177,1.2,0.2
4894.1177,1.2,0.2
4894.1177,1.2,0.2
4894.1177,1.1882353,0.2
4894.1177,1.1882353,0.2
4894.1177,1.1882353,0.2
4894.1177,1.1882353,0.2
4894.1177,1.1764706,0.2
4894.1177,1.1764706,0.2
4894.1177,1.1764706,0.2
4894.1177,1.1647059,0.2
4894.1177,1.1647059,0.2
4894.1177,1.1647059,0.2
4894.1177,1.1529412,0.2
4894.1177,1.1529412,0.2
4862.745,1.1529412,0.2
4862.745,1.1647059,0.2
4831.3726,1.1764706,0.2
4831.3726,1.1882353,0.2
4800.0,1.1882353,0.2
4768.6274,1.2,0.2
4768.6274,1.2117647,0.2
4737.255,1.2117647,0.2
4737.255,1.2235295,0.2
4705.8823,1.2352941,0.2
4705.8823,1.2470589,0.2
4674.51,1.2470589,0.2
4643.1377,1.2588235,0.2
4643.1377,1.2705883,0.2
4611.765,1.2823529,0.2
4611.765,1.2823529,0.2
4580.3926,1.2941177,0.2
4580.3926,1.3058823,0.2
4549.02,1.3176471,0.2
4517.6475,1.3176471,0.2
4517.6475,1.3294117,0.2
4486.275,1.3411765,0.2
4486.275,1.3529412,0.2
4454.9023,1.3529412,0.2
4454.9023,1.3647059,0.2
4423.53,1.3764706,0.2
4392.157,1.3764706,0.2
4392.157,1.3882353,0.2
4360.7847,1.4,0.2
4360.7847,1.4117647,0.2
4329.412,1.4117647,0.2
4329.412,1.4117647,0.2
4329.412,1.4235294,0.2
3576.4707,1.1058824,1.0
4329.412,1.4235294,0.2
4329.412,1.4235294,0.2
4298.0396,1.4352942,0.2
3419.608,1.1215687,1.0
4298.0396,1.4352942,0.2
4298.0396,1.4352942,0.2
4298.0396,1.4352942,0.2
3576.4707,0.59607846,1.0
4298.0396,1.4470588,0.2
3419.608,0.85490197,1.0
3419.608,0.93333334,1.0
4298.0396,1.4470588,0.2
3419.608,1.1764706,1.0
4266.667,1.4470588,0.2
3419.608,0.91764706,1.0
3419.608,0.9882353,1.0
4266.667,1.4470588,0.2
3419.608,1.1450981,1.0
4266.667,1.4588236,0.2
4266.667,1.4588236,0.2
3576.4707,0.9882353,1.0
4141.177,1.3529412,0.2
4172.5493,1.3529412,0.2
3419.608,0.63529414,1.0
4203.922,1.3411765,0.2
4266.667,1.3411765,0.2
4298.0396,1.3294117,0.2
4329.412,1.3294117,0.2
4360.7847,1.3294117,0.2
4392.157,1.3176471,0.2
4423.53,1.3176471,0.2
4486.275,1.3058823,0.2
4517.6475,1.3058823,0.2
4549.02,1.2941177,0.2
4580.3926,1.2941177,0.2
3576.4707,0.59607846,1.0
2949.0198,0.9882353,1.0
4611.765,1.2823529,0.2
4643.1377,1.2823529,0.2
4674.51,1.2705883,0.2
3576.4707,0.59607846,1.0
4737.255,1.2705883,0.2
4768.6274,1.2705883,0.2
4800.0,1.2588235,0.2
4831.3726,1.2588235,0.2
4862.745,1.2470589,0.2
4894.1177,1.2470589,0.2
4956.863,1.2352941,0.2
4988.2354,1.2352941,0.2
5019.608,1.2235295,0.2
5019.608,1.2235295,0.2
5019.608,1.2235295,0.2
5019.608,1.2117647,0.2
5019.608,1.2117647,0.2
5019.608,1.2117647,0.2
5019.608,1.2,0.2
5019.608,1.2,0.2
6556.863,1.2,1.0
5019.608,1.2,0.2
5019.608,1.1882353,0.2
5019.608,1.1882353,0.2
3576.4707,0.99607843,1.0
3576.4707,1.2,1.0
3576.4707,1.137255,1.0
5019.608,1.1882353,0.2
3576.4707,1.1921569,1.0
5019.608,1.1764706,0.2
3576.4707,0.99607843,1.0
4988.2354,1.1764706,0.2
4988.2354,1.1764706,0.2
4988.2354,1.1647059,0.2
4988.2354,1.1647059,0.2
4988.2354,1.1647059,0.2
4988.2354,1.1529412,0.2
4988.2354,1.1529412,0.2
4988.2354,1.1529412,0.2
4988.2354,1.1529412,0.2
4988.2354,1.1411765,0.2
4988.2354,1.1411765,0.2
4988.2354,1.1411765,0.2
4956.863,1.1294118,0.2
4956.863,1.1294118,0.2
4956.863,1.1294118,0.2
4956.863,1.117647,0.2
4956.863,1.117647,0.2
4956.863,1.117647,0.2
4956.863,1.117647,0.2
4925.49,1.1294118,0.2
4894.1177,1.1411765,0.2
4894.1177,1.1411765,0.2
4862.745,1.1529412,0.2
4831.3726,1.1647059,0.2
4800.0,1.1764706,0.2
4800.0,1.1882353,0.2
4768.6274,1.2,0.2
4737.255,1.2,0.2
4737.255,1.2117647,0.2
4705.8823,1.2235295,0.2
4674.51,1.2352941,0.2
4674.51,1.2470589,0.2
4643.1377,1.2588235,0.2
4611.765,1.2588235,0.2
3576.4707,0.59607846,1.0
4611.765,1.2705883,0.2
4580.3926,1.2823529,0.2
4549.02,1.2941177,0.2
4517.6475,1.3058823,0.2
4517.6475,1.3176471,0.2
4486.275,1.3176471,0.2
4454.9023,1.3294117,0.2
4454.9023,1.3411765,0.2
4423.53,1.3529412,0.2
4392.157,1.3647059,0.2
4392.157,1.3764706,0.2
3576.4707,0.59607846,1.0
4360.7847,1.3764706,0.2
4329.412,1.3882353,0.2
4329.412,1.4,0.2
4298.0396,1.4117647,0.2
4298.0396,1.4117647,0.2
4298.0396,1.4117647,0.2
3576.4707,1.0509804,1.0
4298.0396,1.4235294,0.2
3576.4707,0.59607846,1.0
4266.667,1.4235294,0.2
3419.608,1.082353,1.0
3419.608,1.2,1.0
3419.608,0.95686275,1.0
4266.667,1.4235294,0.2
4266.667,1.4352942,0.2
4266.667,1.4352942,0.2
4266.667,1.4352942,0.2
4266.667,1.4470588,0.2
3576.4707,0.59607846,1.0
3419.608,0.8235294,1.0
3419.608,0.9098039,1.0
3419.608,0.9098039,1.0
3419.608,1.1137255,1.0
4266.667,1.4470588,0.2
3419.608,0.9647059,1.0
4235.2944,1.4470588,0.2
4235.2944,1.4588236,0.2
3419.608,0.972549,1.0
3419.608,1.1529412,1.0
3419.608,0.84705883,1.0
4235.2944,1.4588236,0.2
4235.2944,1.4588236,0.2
3576.4707,0.95686275,1.0
4141.177,1.3411765,0.2
4203.922,1.3411765,0.2
4235.2944,1.3294117,0.2
4266.667,1.3294117,0.2
4329.412,1.3176471,0.2
4360.7847,1.3176471,0.2
4392.157,1.3058823,0.2
4423.53,1.3058823,0.2
4486.275,1.2941177,0.2
4517.6475,1.2941177,0.2
4549.02,1.2823529,0.2
4611.765,1.2705883,0.2
4643.1377,1.2705883,0.2
4674.51,1.2588235,0.2
2949.0198,1.0980393,1.0
4705.8823,1.2588235,0.2
4768.6274,1.2470589,0.2
4800.0,1.2470589,0.2
4831.3726,1.2352941,0.2
4894.1177,1.2352941,0.2
4925.49,1.2235295,0.2
3576.4707,0.59607846,1.0
4956.863,1.2235295,0.2
4988.2354,1.2117647,0.2
5050.9805,1.2117647,0.2
5082.353,1.2,0.2
5113.7256,1.2,0.2
5145.098,1.1882353,0.2
3576.4707,0.59607846,1.0
5145.098,1.1882353,0.2
5145.098,1.1764706,0.2
5113.7256,1.1764706,0.2
5113.7256,1.1764706,0.2
5113.7256,1.1647059,0.2
5113.7256,1.1647059,0.2
5113.7256,1.1647059,0.2
5113.7256,1.1529412,0.2
5113.7256,1.1529412,0.2
3576.4707,0.59607846,1.0
5113.7256,1.1529412,0.2
3576.4707,0.8392157,1.0
3576.4707,1.1607844,1.0
3576.4707,0.99607843,1.0
5113.7256,1.1411765,0.2
5082.353,1.1411765,0.2
5082.353,1.1411765,0.2
5082.353,1.1294118,0.2
5082.353,1.1294118,0.2
6556.863,1.0509804,1.0
5082.353,1.1294118,0.2
6556.863,0.93333334,1.0
5082.353,1.117647,0.2
6556.863,0.8627451,1.0
6556.863,1.1529412,1.0
5082.353,1.117647,0.2
5082.353,1.117647,0.2
5082.353,1.1058824,0.2
3576.4707,0.8235294,1.0
5050.9805,1.1058824,0.2
5050.9805,1.0941176,0.2
5050.9805,1.0941176,0.2
5050.9805,1.0941176,0.2
5050.9805,1.082353,0.2
5050.9805,1.082353,0.2
5050.9805,1.082353,0.2
5050.9805,1.0705882,0.2
5019.608,1.0705882,0.2
5019.608,1.0705882,0.2
3576.4707,1.0901961,1.0
4988.2354,1.082353,0.2
4956.863,1.0941176,0.2
4956.863,1.1058824,0.2
4925.49,1.117647,0.2
4894.1177,1.1294118,0.2
4862.745,1.1411765,0.2
4831.3726,1.1529412,0.2
4800.0,1.1647059,0.2
4800.0,1.1764706,0.2
4768.6274,1.1882353,0.2
4737.255,1.2,0.2
4705.8823,1.2117647,0.2
4674.51,1.2235295,0.2
4674.51,1.2352941,0.2
4643.1377,1.2352941,0.2
4611.765,1.2470589,0.2
4580.3926,1.2588235,0.2
4549.02,1.2705883,0.2
4517.6475,1.2823529,0.2
4517.6475,1.2941177,0.2
4486.275,1.3058823,0.2
3576.4707,0.59607846,1.0
4454.9023,1.3176471,0.2
4423.53,1.3294117,0.2
4392.157,1.3411765,0.2
4392.157,1.3529412,0.2
3576.4707,1.0588236,1.0
3576.4707,0.93333334,1.0
4360.7847,1.3647059,0.2
4329.412,1.3764706,0.2
4298.0396,1.3882353,0.2
4266.667,1.4,0.2
4266.667,1.4,0.2
4266.667,1.4117647,0.2
4266.667,1.4117647,0.2
4235.2944,1.4117647,0.2
4235.2944,1.4235294,0.2
3576.4707,0.59607846,1.0
4235.2944,1.4235294,0.2
4235.2944,1.4352942,0.2
4235.2944,1.4352942,0.2
4235.2944,1.4352942,0.2
4235.2944,1.4470588,0.2
3419.608,1.0980393,1.0
3419.608,0.8,1.0
4203.922,1.4470588,0.2
3419.608,1.0666667,1.0
4203.922,1.4470588,0.2
3419.608,1.0117648,1.0
3419.608,0.95686275,1.0
3419.608,1.0431373,1.0
4203.922,1.4588236,0.2
3419.608,1.137255,1.0
3419.608,0.9254902,1.0
3419.608,1.1450981,1.0
4203.922,1.4588236,0.2
4203.922,1.4588236,0.2
4172.5493,1.3294117,0.2
4203.922,1.3294117,0.2
4266.667,1.3176471,0.2
4298.0396,1.3176471,0.2
4329.412,1.3058823,0.2
4392.157,1.2941177,0.2
4423.53,1.2941177,0.2
4486.275,1.2823529,0.2
4517.6475,1.2823529,0.2
4580.3926,1.2705883,0.2
4611.765,1.2588235,0.2
4643.1377,1.2588235,0.2
3576.4707,0.8235294,1.0
4705.8823,1.2470589,0.2
4737.255,1.2352941,0.2
4800.0,1.2352941,0.2
4831.3726,1.2235295,0.2
4862.745,1.2235295,0.2
4925.49,1.2117647,0.2
4956.863,1.2,0.2
5019.608,1.2,0.2
5050.9805,1.1882353,0.2
5082.353,1.1882353,0.2
5145.098,1.1764706,0.2
5176.4707,1.1647059,0.2
5239.216,1.1647059,0.2
5239.216,1.1529412,0.2
5239.216,1.1529412,0.2
5239.216,1.1529412,0.2
5239.216,1.1411765,0.2
5239.216,1.1411765,0.2
5207.8433,1.1294118,0.2
5207.8433,1.1294118,0.2
5207.8433,1.1294118,0.2
5207.8433,1.117647,0.2
3576.4707,1.1529412,1.0
3576.4707,0.8235294,1.0
3576.4707,0.8784314,1.0
5207.8433,1.117647,0.2
3576.4707,0.8156863,1.0
5207.8433,1.117647,0.2
5207.8433,1.1058824,0.2
3576.4707,1.1058824,1.0
3576.4707,1.027451,1.0
5176.4707,1.1058824,0.2
3576.4707,1.0509804,1.0
5176.4707,1.0941176,0.2
5176.4707,1.0941176,0.2
5176.4707,1.0941176,0.2
5176.4707,1.082353,0.2
5176.4707,1.082353,0.2
5176.4707,1.082353,0.2
5145.098,1.0705882,0.2
3576.4707,0.972549,1.0
5145.098,1.0705882,0.2
3576.4707,0.89411765,1.0
5145.098,1.0588236,0.2
3576.4707,1.0196079,1.0
5145.098,1.0588236,0.2
5145.098,1.0588236,0.2
5145.098,1.0470588,0.2
5113.7256,1.0470588,0.2
5113.7256,1.0470588,0.2
5113.7256,1.0352942,0.2
5113.7256,1.0352942,0.2
5113.7256,1.0235294,0.2
3576.4707,0.85490197,1.0
5082.353,1.0352942,0.2
5050.9805,1.0470588,0.2
3576.4707,0.8862745,1.0
3576.4707,0.85490197,1.0
5019.608,1.0588236,0.2
5019.608,1.0705882,0.2
4988.2354,1.082353,0.2
4956.863,1.0941176,0.2
4925.49,1.1058824,0.2
4894.1177,1.117647,0.2
4862.745,1.1294118,0.2
4831.3726,1.1411765,0.2
4800.0,1.1529412,0.2
4768.6274,1.1647059,0.2
4737.255,1.1764706,0.2
4705.8823,1.1882353,0.2
4674.51,1.2,0.2
4643.1377,1.2235295,0.2
4611.765,1.2352941,0.2
4580.3926,1.2470589,0.2
4549.02,1.2588235,0.2
4517.6475,1.2705883,0.2
4517.6475,1.2823529,0.2
4486.275,1.2941177,0.2
4454.9023,1.3058823,0.2
4423.53,1.3176471,0.2
4392.157,1.3294117,0.2
4360.7847,1.3411765,0.2
3576.4707,0.91764706,1.0
4329.412,1.3529412,0.2
3576.4707,1.137255,1.0
4298.0396,1.3647059,0.2
3576.4707,1.0901961,1.0
3576.4707,1.0901961,1.0
4266.667,1.3764706,0.2
4235.2944,1.3882353,0.2
4235.2944,1.4,0.2
4203.922,1.4,0.2
4203.922,1.4117647,0.2
4203.922,1.4117647,0.2
4203.922,1.4235294,0.2
4203.922,1.4235294,0.2
4203.922,1.4235294,0.2
4203.922,1.4352942,0.2
4203.922,1.4352942,0.2
4172.5493,1.4470588,0.2
4172.5493,1.4470588,0.2
4172.5493,1.4470588,0.2
4172.5493,1.4588236,0.2
3419.608,0.8235294,1.0
3419.608,0.9411765,1.0
3419.608,1.1058824,1.0
4172.5493,1.4588236,0.2
4172.5493,1.4705882,0.2
4172.5493,1.3176471,0.2
4235.2944,1.3176471,0.2
4266.667,1.3058823,0.2
4329.412,1.2941177,0.2
4360.7847,1.2941177,0.2
4423.53,1.2823529,0.2
4454.9023,1.2705883,0.2
3576.4707,1.0666667,1.0
3576.4707,1.0666667,1.0
4517.6475,1.2705883,0.2
4549.02,1.2588235,0.2
3576.4707,1.0196079,1.0
